title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
2bdrm Maisonette in Lekki Phase 1 for sale,185,Maisonette,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Diamond,350000000.0
4bdrm Duplex in Thomas Estate for sale,300,Duplex,4,4,Semi-Furnished,"Ajah, Thomas Estate",Thomas Estate,Lagos Island,Enterprise,300000000.0
"5bdrm Duplex in Lekki Palm City, Ado / Ajah for sale",300,Duplex,5,5,Semi-Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos Island,Enterprise,300000000.0
"4bdrm Duplex in Golden Park Estate, Sangotedo for sale",300,Duplex,4,4,Semi-Furnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,275000000.0
5bdrm Duplex in Idu for sale,700,Duplex,5,6,Unfurnished,"Jiwa, Idu",Idu,Abuja (FCT),False,350000000.0
"Furnished 3bdrm Apartment in Kenneth Odidika, Ologolo for sale",200,Apartment,3,3,Furnished,"Lekki, Ologolo",Ologolo,Lagos Island,False,130000000.0
Furnished 5bdrm Duplex in Magodo G.R.A Phase for sale,648,Duplex,5,5,Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos Mainland,False,620000000.0
3bdrm Townhouse/Terrace in Kaura Opposite for sale,280,Townhouse/Terrace,3,3,Unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),Enterprise,110000000.0
4bdrm Townhouse/Terrace in Mabushi for sale,300,Townhouse/Terrace,4,4,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),Enterprise,270000000.0
4bdrm Duplex in Abijo for sale,200,Duplex,4,4,Semi-Furnished,"Ibeju, Abijo",Abijo,Lagos Island,Enterprise,150000000.0
3bdrm Apartment in Wuye- Dakibiyu Abuja for sale,1500,Apartment,3,4,Semi-Furnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),Enterprise,135000000.0
"4bdrm Duplex in Ikota, Lekki for sale",500,Duplex,4,4,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos Island,Vip,200000000.0
"3bdrm Townhouse/Terrace in Hall 7, Life Camp for sale",350,Townhouse/Terrace,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,150000000.0
4bdrm Duplex in Lekki Phase 2 for sale,200,Duplex,4,4,Semi-Furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,200000000.0
15bdrm Room & Parlour in Abule Egba for sale,150,Room & Parlour,15,2,Unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos Mainland,False,40000000.0
4bdrm Duplex in Jahi Abuja for sale,2000,Duplex,4,5,Semi-Furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,350000000.0
"4bdrm Duplex in Gra, Ikota for sale",500,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,False,165000000.0
"Furnished 14bdrm House in Glass House, Okokomaiko for sale",170,Block of Flats,14,12,Furnished,"Ojo, Okokomaiko",Okokomaiko,Lagos Mainland,False,120000000.0
4bdrm Duplex in Lekki Phase 1 for sale,400,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Diamond,450000000.0
6bdrm Bungalow in Umuguma Owerri West for sale,465,Bungalow,6,6,Semi-Furnished,"Imo State, Owerri",Owerri,Imo State,Enterprise,50500000.0
"3bdrm Bungalow in Akuru, Ibadan for sale",450,Bungalow,3,3,Semi-Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,False,85000000.0
"10bdrm House in Apata, Okitipupa for sale",850,Apartment,10,5,Unfurnished,"Ondo State, Okitipupa",Okitipupa,Ondo State,False,25000000.0
3bdrm House in Lokogoma for sale,800,Bungalow,3,3,Semi-Furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),False,80000000.0
Furnished 5bdrm Bungalow in Benin City for sale,100,Bungalow,5,5,Furnished,"Edo State, Benin City",Benin City,Edo State,False,55000000.0
Furnished 4bdrm Duplex in Oba Akran for sale,400,Duplex,4,5,Furnished,"Ikeja, Oba Akran",Oba Akran,Lagos Mainland,False,190000000.0
"4bdrm Room & Parlour in Unity Estate, Ado-Odo/Ota for sale",829,Room & Parlour,4,4,Semi-Furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,False,22000000.0
2bdrm Bungalow in Akinyele for sale,2500,Bungalow,2,3,Unfurnished,"Oyo State, Akinyele",Akinyele,Oyo State,False,13000000.0
3bdrm Bungalow in Apete Ibadan for sale,400,Bungalow,3,3,Unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,False,45000000.0
Furnished 5bdrm Duplex in In Secured Estate for sale,400,Duplex,5,6,Furnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos Island,Vip_Gold,480000000.0
"4bdrm Duplex in 08 Garden City, Ikwerre for sale",465,Duplex,4,5,Unfurnished,"Rivers State, Ikwerre",Ikwerre,Rivers State,Enterprise,145000000.0
2bdrm Apartment in GRA Phase 1 / Port-Harcourt for sale,500,Apartment,2,2,Unfurnished,"Port-Harcourt, GRA Phase 1 / Port-Harcourt",GRA Phase 1 / Port-Harcourt,Rivers State,Enterprise,140000000.0
4bdrm Duplex in Dape for sale,920,Duplex,4,5,Unfurnished,"Gwarinpa, Dape",Dape,Abuja (FCT),Enterprise,460000000.0
5bdrm Duplex in Jahi for sale,1000,Duplex,5,5,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,200000000.0
5bdrm Duplex in Dawaki News for sale,500,Duplex,5,5,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),Enterprise,80000000.0
5bdrm Duplex in Ikota for sale,460,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Diamond,550000000.0
6bdrm Maisonette in Navy Estate Karshi for Sale,1400,Maisonette,6,5,Semi-Furnished,"Abuja (FCT), Karshi",Karshi,Abuja (FCT),Enterprise,150000000.0
3bdrm Apartment in Ifako for sale,650,Apartment,3,3,Semi-Furnished,"Gbagada, Ifako-Gbagada",Ifako-Gbagada,Lagos Mainland,Enterprise,160000000.0
3bdrm Apartment in Maryland Estate for sale,600,Apartment,3,3,Semi-Furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Lagos Mainland,Enterprise,250000000.0
"4bdrm Duplex in Millennium Estate, Millenuim/UPS for sale",230,Duplex,4,4,Semi-Furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Lagos Mainland,Enterprise,400000000.0
2bdrm Duplex in Ilupeju Industrial Estate for sale,825,Duplex,2,4,Semi-Furnished,"Ilupeju, Ilupeju Industrial Estate",Ilupeju Industrial Estate,Lagos Mainland,Enterprise,830000000.0
4bdrm Duplex in Ikota for sale,450,Duplex,4,4,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,180000000.0
Furnished 4bdrm Duplex in Chevron for sale,500,Duplex,4,4,Furnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,365000000.0
4bdrm Duplex in Kado for sale,1900,Duplex,4,4,Semi-Furnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),Enterprise,230000000.0
"5bdrm Duplex in Mini Estate, Katampe Extension for sale",1000,Duplex,5,5,Semi-Furnished,"Katampe, Katampe Extension",Katampe Extension,Abuja (FCT),Enterprise,250000000.0
"4bdrm Duplex in Gbagada, Millenuim/UPS for sale",220,Duplex,4,4,Semi-Furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Lagos Mainland,Enterprise,280000000.0
3bdrm Apartment in Magodo Gra Phase 2 for sale,650,Apartment,3,3,Semi-Furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos Mainland,Enterprise,280000000.0
Furnished 3bdrm Bungalow in Gudu for sale,700,Bungalow,3,3,Furnished,"Abuja (FCT), Gudu",Gudu,Abuja (FCT),Enterprise,280000000.0
3bdrm Block of Flats in Jahi By Gilmor for sale,1000,Block of Flats,3,3,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,620000000.0
"Furnished 4bdrm Duplex in Residential, Maitama for sale",300,Duplex,4,4,Furnished,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),Diamond,370000000.0
3bdrm Apartment in Maryland for sale,800,Apartment,3,3,Semi-Furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Lagos Mainland,Enterprise,280000000.0
3bdrm Block of Flats in Brains And Hammers for sale,300,Block of Flats,3,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,60000000.0
"4bdrm Duplex in Olowora, Magodo Isheri for sale",220,Duplex,4,4,Semi-Furnished,"Ojodu, Magodo Isheri",Magodo Isheri,Lagos Mainland,Enterprise,270000000.0
3bdrm Apartment in Jahi Gilmor for sale,1500,Apartment,3,4,Semi-Furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,140000000.0
"2bdrm Block of Flats in Cpc Community, Dawaki for sale",550,Block of Flats,2,2,Semi-Furnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),Enterprise,350000000.0
4bdrm Apartment in Ikeja Gra for sale,412,Apartment,4,4,Semi-Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos Mainland,Enterprise,550000000.0
"2bdrm Apartment in Yaba, Onike for sale",550,Apartment,2,2,Semi-Furnished,"Yaba, Onike",Onike,Lagos Mainland,Enterprise,150000000.0
2bdrm Block of Flats in Egbeda for sale,550,Block of Flats,2,2,Semi-Furnished,"Alimosho, Egbeda",Egbeda,Oyo State,Enterprise,220000000.0
