title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
2bdrm Maisonette in Lekki Phase 1 for sale,185.0,Maisonette,2.0,2.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 350,000,000"
4bdrm Duplex in Thomas Estate for sale,300.0,Duplex,4.0,4.0,semi-furnished,"Ajah, Thomas Estate",Thomas Estate,Ajah,enterprise,"₦ 300,000,000"
"5bdrm Duplex in Lekki Palm City, Ado / Ajah for sale",300.0,Duplex,5.0,5.0,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,enterprise,"₦ 300,000,000"
"4bdrm Duplex in Golden Park Estate, Sangotedo for sale",300.0,Duplex,4.0,4.0,semi-furnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 275,000,000"
Mini Flat in Mende for sale,120.0,,1.0,1.0,unfurnished,"Maryland, Mende",Mende,Maryland,vip_gold,"₦ 75,000,000"
5bdrm Duplex in Idu for sale,700.0,Duplex,5.0,6.0,unfurnished,"Jiwa, Idu",Idu,Jiwa,False,"₦ 350,000,000"
"Furnished 3bdrm Apartment in Kenneth Odidika, Ologolo for sale",200.0,Apartment,3.0,3.0,furnished,"Lekki, Ologolo",Ologolo,Lekki,False,"₦ 130,000,000"
Furnished 5bdrm Duplex in Magodo G.R.A Phase for sale,648.0,Duplex,5.0,5.0,furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,False,"₦ 620,000,000"
3bdrm Townhouse/Terrace in Kaura Opposite for sale,280.0,Townhouse/Terrace,3.0,3.0,unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),enterprise,"₦ 110,000,000"
4bdrm Townhouse/Terrace in Mabushi for sale,300.0,Townhouse/Terrace,4.0,4.0,unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),enterprise,"₦ 270,000,000"
4bdrm Duplex in Abijo for sale,200.0,Duplex,4.0,4.0,semi-furnished,"Ibeju, Abijo",Abijo,Ibeju,enterprise,"₦ 150,000,000"
3bdrm Apartment in Wuye- Dakibiyu Abuja for sale,1500.0,Apartment,3.0,4.0,semi-furnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),enterprise,"₦ 135,000,000"
"4bdrm Duplex in Ikota, Lekki for sale",500.0,Duplex,4.0,4.0,semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,vip,"₦ 200,000,000"
"3bdrm Townhouse/Terrace in Hall 7, Life Camp for sale",350.0,Townhouse/Terrace,3.0,3.0,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,enterprise,"₦ 150,000,000"
4bdrm Duplex in Lekki Phase 2 for sale,200.0,Duplex,4.0,4.0,semi-furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 200,000,000"
15bdrm Room & Parlour in Abule Egba for sale,150.0,Room & Parlour,15.0,2.0,unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,"₦ 40,000,000"
4bdrm Duplex in Jahi Abuja for sale,2000.0,Duplex,4.0,5.0,semi-furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 350,000,000"
"4bdrm Duplex in Gra, Ikota for sale",500.0,Duplex,4.0,4.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 165,000,000"
"Furnished 14bdrm House in Glass House, Okokomaiko for sale",170.0,House,14.0,12.0,furnished,"Ojo, Okokomaiko",Okokomaiko,Ojo,False,"₦ 120,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,400.0,Duplex,4.0,4.0,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 450,000,000"
"4bdrm Bungalow in Kunle Soladoye Co., Ilorin South for Sale",,Bungalow,4.0,4.0,unfurnished,"Kwara State, Ilorin South",Ilorin South,Kwara State,False,"₦ 8,000,000"
6bdrm Bungalow in Umuguma Owerri West for sale,465.0,Bungalow,6.0,6.0,semi-furnished,"Imo State, Owerri",Owerri,Imo State,enterprise,"₦ 50,500,000"
4bdrm Bungalow in Karu-Nasarawa for sale,1000.0,Bungalow,4.0,5.0,semi-furnished,"Nasarawa State, Karu-Nasarawa",Karu-Nasarawa,Nasarawa State,False,"₦ 100,000,000"
"3bdrm Bungalow in Akuru, Ibadan for sale",450.0,Bungalow,3.0,3.0,semi-furnished,"Oyo State, Ibadan",Ibadan,Oyo State,False,"₦ 85,000,000"
20bdrm Apartment in Apo Resettlement for sale,2000.0,Apartment,20.0,20.0,semi-furnished,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,False,"₦ 1,400,000,000"
"10bdrm House in Apata, Okitipupa for sale",850.0,House,10.0,5.0,unfurnished,"Ondo State, Okitipupa",Okitipupa,Ondo State,False,"₦ 25,000,000"
3bdrm House in Lokogoma for sale,800.0,House,3.0,3.0,semi-furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),False,"₦ 80,000,000"
Furnished 5bdrm Bungalow in Benin City for sale,100.0,Bungalow,5.0,5.0,furnished,"Edo State, Benin City",Benin City,Edo State,False,"₦ 55,000,000"
Furnished 4bdrm Duplex in Oba Akran for sale,400.0,Duplex,4.0,5.0,furnished,"Ikeja, Oba Akran",Oba Akran,Ikeja,False,"₦ 190,000,000"
"4bdrm Room & Parlour in Unity Estate, Ado-Odo/Ota for sale",829.0,Room & Parlour,4.0,4.0,semi-furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,False,"₦ 22,000,000"
2bdrm Bungalow in Akinyele for sale,2500.0,Bungalow,2.0,3.0,unfurnished,"Oyo State, Akinyele",Akinyele,Oyo State,False,"₦ 13,000,000"
3bdrm Bungalow in Apete Ibadan for sale,400.0,Bungalow,3.0,3.0,unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,False,"₦ 45,000,000"
Furnished 5bdrm Duplex in In Secured Estate for sale,400.0,Duplex,5.0,6.0,furnished,"Ajah, VGC / Ajah",VGC / Ajah,Ajah,vip_gold,"₦ 480,000,000"
"4bdrm Duplex in 08 Garden City, Ikwerre for sale",465.0,Duplex,4.0,5.0,unfurnished,"Rivers State, Ikwerre",Ikwerre,Rivers State,enterprise,"₦ 145,000,000"
3bdrm Bungalow in Wumba for sale,,Bungalow,3.0,4.0,semi-furnished,"Abuja (FCT), Wumba",Wumba,Abuja (FCT),enterprise,"₦ 75,000,000"
"Functional 5bedrm Duplex,Secured Estate in Guzape for Sale",,,5.0,5.0,semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),enterprise,"₦ 350,000,000"
2bdrm Apartment in GRA Phase 1 / Port-Harcourt for sale,500.0,Apartment,2.0,2.0,unfurnished,"Port-Harcourt, GRA Phase 1 / Port-Harcourt",GRA Phase 1 / Port-Harcourt,Port-Harcourt,enterprise,"₦ 140,000,000"
4bdrm Duplex in Dape for sale,920.0,Duplex,4.0,5.0,unfurnished,"Gwarinpa, Dape",Dape,Gwarinpa,enterprise,"₦ 460,000,000"
5bdrm Duplex in Jahi for sale,1000.0,Duplex,5.0,5.0,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 200,000,000"
5bdrm Duplex in Dawaki News for sale,500.0,Duplex,5.0,5.0,unfurnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,enterprise,"₦ 80,000,000"
5bdrm Duplex in Ikota for sale,460.0,Duplex,5.0,5.0,unfurnished,"Lekki, Ikota",Ikota,Lekki,diamond,"₦ 550,000,000"
